类别,问题,答案
现代医学,注射用泮托拉唑钠能和什么配伍？,泮托拉唑配伍要求严格！可配伍：①5%或10%葡萄糖注射液；②生理盐水；③林格液。禁止配伍：①不能与EDTA或其他金属螯合剂混合；②避免与其他药物混合，包括：维生素、电解质补充剂、其他抗生素；③锌制剂会使泮托拉唑失效。正确使用：用10ml生理盐水溶解后，再用100ml溶媒稀释，15分钟内滴完；现配现用，配制后2小时内用完；避光保存。
现代医学,注射用兰索拉唑使用注意事项,兰索拉唑配制要求！①只能用专用稀释液或注射用水溶解；②溶解后立即用葡萄糖注射液或生理盐水稀释至50ml；③严禁与其他药物混合，包括：维生素、抗生素、电解质；④现配现用，室温下1小时内用完；⑤避光保存；⑥滴注时间不少于30分钟；⑦不能与含锌制剂同时使用；⑧pH敏感，避免与酸性或强碱性药物配伍。
现代医学,注射用奥美拉唑钠使用要点,奥美拉唑钠配制要求！①先用5ml生理盐水或注射用水溶解；②再用100ml生理盐水或葡萄糖注射液稀释；③严禁与酸性药物配伍（维生素C、氨基酸等）；④避光输注；⑤滴注时间20-30分钟；⑥现配现用，配制后12小时内用完；⑦不能与其他药物混合；⑧溶液变黄或有沉淀立即停用；⑨输注完毕后用生理盐水或葡萄糖冲管。
现代医学,盐酸多巴酚丁胺注射液使用注意,多巴酚丁胺（强心药）使用要点！①用5%葡萄糖注射液或生理盐水稀释；②避光保存；③禁止与碱性药物配伍（碳酸氢钠、氨茶碱），会氧化失效；④溶液变色（粉红色或棕色）立即停用；⑤不能与β受体阻滞剂同时使用（拮抗）；⑥浓度不超过5mg/ml；⑦现配现用，24小时内用完；⑧微量泵持续泵入；⑨监测心率、血压、心电图；⑩不与肝素在同一管路。
现代医学,注射用还原型谷胱甘肽配伍禁忌,还原型谷胱甘肽配伍要求！①只能用生理盐水或5%葡萄糖注射液稀释；②严禁与以下药物配伍：维生素K、维生素B12、钙剂、抗生素（青霉素、头孢类）、碱性药物；③原因：谷胱甘肽是还原剂，会与氧化性药物反应失效；④避光输注；⑤现配现用，2小时内用完；⑥pH 6-7最稳定；⑦不能与化疗药物配伍；⑧输注速度不宜过快。
现代医学,奥扎格雷钠注射液配伍注意事项,奥扎格雷钠（抗血小板药）使用要点！①可用生理盐水或5%葡萄糖注射液稀释；②禁止与以下药物配伍：碱性药物（碳酸氢钠）、钙剂、头孢菌素类抗生素；③会产生沉淀或变色；④避光保存；⑤现配现用，8小时内用完；⑥不与抗凝药（肝素、华法林）在同一管路；⑦监测出血倾向；⑧输注完毕冲管；⑨与其他药物间隔给药。
现代医学,注射用血栓通（冻干）配伍禁忌,血栓通（三七总皂苷）配伍要求！①只能用5%或10%葡萄糖注射液或生理盐水稀释；②严禁与以下药物配伍：维生素C、维生素K、钙剂、碱性药物、抗生素；③可能产生沉淀或变色；④需单独使用一条静脉通路；⑤滴速不宜过快（40-60滴/分钟）；⑥现配现用，4小时内用完；⑦过敏体质者慎用；⑧输注时观察过敏反应；⑨不与其他中药注射剂配伍。
现代医学,注射用丹参（冻干）使用注意,丹参注射液配伍禁忌！①用5%或10%葡萄糖注射液或生理盐水稀释至250-500ml；②严禁与以下配伍：维生素C、维生素K、钙剂、抗生素（头孢类、青霉素类）、中药注射剂；③可能产生沉淀、变色或絮状物；④需单独静脉通路；⑤滴速40-60滴/分钟；⑥现配现用，当天用完；⑦输注时监测过敏反应；⑧与抗凝药同用需监测凝血功能。
现代医学,醒脑静注射液配伍禁忌,醒脑静（中药注射剂）使用要求！①只能用5%或10%葡萄糖注射液稀释，禁用生理盐水；②严禁与任何其他药物配伍，包括：西药、其他中药注射剂、维生素、电解质；③必须单独使用一条静脉通路；④现配现用，2小时内用完；⑤滴速不超过40滴/分钟；⑥首次使用需做过敏试验；⑦输注时严密监测过敏反应；⑧与其他药物间隔至少30分钟；⑨输液前后用葡萄糖注射液冲管。
现代医学,参麦注射液配伍禁忌,参麦注射液（中药）使用注意！①可用5%葡萄糖注射液或生理盐水稀释；②严禁与以下配伍：抗生素、维生素类、电解质、其他中药注射剂、碱性药物；③必须单独静脉通路；④滴速控制在40滴/分钟以内；⑤现配现用，当天用完；⑥儿童、孕妇慎用；⑦首次使用观察过敏反应；⑧不与藜芦、五灵脂等中药同用；⑨输注前后用稀释液冲管。
现代医学,参附注射液使用注意事项,参附注射液（急救用中药）配伍禁忌！①只能用5%或10%葡萄糖注射液稀释，禁用生理盐水；②严禁与任何药物配伍；③需单独静脉通路；④抢救时可快速滴注，非抢救时滴速不超过60滴/分钟；⑤现配现用；⑥监测心率、血压；⑦过敏体质慎用；⑧孕妇禁用；⑨不与藜芦、半夏等配伍；⑩输注前后冲管。
现代医学,生脉注射液配伍注意,生脉注射液（中药）使用要求！①可用5%葡萄糖注射液或生理盐水稀释；②禁止与以下配伍：抗生素、维生素、钙剂、其他中药注射剂；③单独静脉通路；④滴速40-60滴/分钟；⑤现配现用；⑥儿童用量酌减；⑦监测过敏反应；⑧与藜芦相反，不能同用；⑨输注前后用稀释液冲管；⑩稀释后4小时内用完。
现代医学,头孢曲松钠能和葡萄糖酸钙一起输液吗？,严格禁止！头孢曲松钠与任何含钙制剂（葡萄糖酸钙、氯化钙）配伍会立即产生白色沉淀，形成头孢曲松钙盐结晶。这种沉淀可导致肺栓塞、肾结石，严重时危及生命。两者必须间隔48小时以上使用，且需更换输液器。新生儿和婴儿禁用此组合。
现代医学,青霉素和庆大霉素能混在同一个输液瓶里吗？,不能！青霉素类（青霉素、氨苄西林）不能与氨基糖苷类（庆大霉素、阿米卡星）在同一容器混合。原因：①青霉素的β-内酰胺环会使氨基糖苷类失活；②两者pH值不同，混合后互相破坏药效。临床使用时应分开给药，间隔至少1小时，中间用生理盐水冲管。
现代医学,维生素C注射液可以和青霉素一起滴注吗？,禁止配伍！维生素C为强酸性（pH 5.5-7），青霉素在酸性环境下会快速水解失效，半衰期从正常的30分钟缩短至几分钟。混合后会导致青霉素完全失去抗菌作用。若患者同时需要两种药物，应分开使用不同的静脉通路，或间隔2小时以上给药。
现代医学,奥美拉唑和维生素C能在同一输液管中使用吗？,严格禁止！奥美拉唑为碱性药物（pH 9-11），在酸性环境下立即分解。维生素C为酸性药物（pH 5.5-7），两者混合会发生酸碱中和反应，导致奥美拉唑迅速降解，溶液变黄或产生沉淀，完全失去疗效。两药必须分开给药，更换输液器。
现代医学,氨茶碱注射液能和维生素C注射液配伍吗？,不能配伍！氨茶碱为碱性药物（pH 9-10），维生素C为酸性药物（pH 5.5-7），两者混合会发生酸碱反应，导致：①氨茶碱析出白色沉淀；②维生素C氧化失效；③溶液变色。临床上需分开给药，若使用同一静脉通路，中间必须用10ml生理盐水冲管。
现代医学,甘露醇脱水治疗时能在同一瓶中加入其他药物吗？,不建议！甘露醇注射液（20%）渗透压极高，与其他药物配伍易产生沉淀或结晶。特别注意：①不能与电解质溶液混合，会析出结晶；②不能加入抗生素，影响药效；③温度低于20℃时甘露醇本身会结晶。使用时应单独快速滴注（30-60分钟内），不加入其他药物。
现代医学,脂肪乳注射液中可以直接加入氯化钾等电解质吗？,严格禁止！脂肪乳为乳剂，加入高浓度电解质（特别是二价阳离子如钙、镁）会导致破乳，出现油水分离、絮状物或颗粒。正确做法：①脂肪乳不能直接加任何药物；②若配制全营养液（TPN），需按照"氨基酸→葡萄糖→电解质→脂肪乳"的顺序混合；③使用专用输液器。
现代医学,肝素钠注射液能和青霉素钠在同一输液管中使用吗？,不能！肝素为强酸性，青霉素钠为钠盐，两者配伍会发生盐析反应，产生白色浑浊或沉淀，导致青霉素失效。此外，肝素还会与多种药物产生配伍禁忌，包括：庆大霉素、红霉素、四环素等。使用时应单独给药，输液管需用生理盐水充分冲洗。
现代医学,地塞米松磷酸钠能和青霉素混合滴注吗？,不推荐混合！虽然不是绝对禁忌，但不建议配伍，因为：①地塞米松在碱性环境下稳定，青霉素在弱碱性环境下稳定，但两者混合后pH会改变；②长时间混合可能导致药效降低；③地塞米松可能增加青霉素的过敏反应风险。临床上建议分开给药，或确需联用时现配现用，30分钟内滴完。
现代医学,庆大霉素和呋塞米能同时使用吗？,可同时使用但不能配伍！两者均有耳毒性和肾毒性，同时使用会协同增强毒性反应。注意事项：①不能在同一输液瓶中混合；②需分开给药，间隔1-2小时；③密切监测患者听力和肾功能；④老年人、肾功能不全者慎用此组合；⑤必要时监测血药浓度。
现代医学,红霉素和氯化钠注射液能配伍使用吗？,不建议配伍！红霉素在氯化钠注射液中稳定性差，容易降解失效。推荐使用5%或10%葡萄糖注射液作为溶媒。配制时注意：①红霉素应溶于葡萄糖注射液中；②浓度不宜过高，建议稀释至500ml以上；③避光输注；④现配现用，不超过4小时；⑤滴速不宜过快，防止静脉炎。
现代医学,去甲肾上腺素能和碳酸氢钠溶液混合吗？,严格禁止！去甲肾上腺素在碱性环境下会迅速氧化失效，变成红棕色。碳酸氢钠为强碱性溶液（pH 7.5-8.5），两者混合会导致去甲肾上腺素完全失去升压作用。临床使用时：①去甲肾上腺素应单独使用5%葡萄糖注射液或生理盐水稀释；②与碱性药物必须分开给药；③使用专用通路。
现代医学,胰岛素能和氨基酸注射液混合使用吗？,不建议直接混合！虽然在配制全营养液（TPN）时可加入胰岛素，但需注意：①胰岛素会吸附在输液容器和管路上，实际输入量可能减少30-50%；②应在配制完成后最后加入胰岛素；③使用玻璃瓶或专用TPN袋可减少吸附；④需根据血糖监测调整剂量；⑤不能与脂肪乳直接接触。
现代医学,硝酸甘油注射液能用普通输液器输注吗？,不能！硝酸甘油为脂溶性药物，会被PVC材质的普通输液器大量吸附，导致实际输入量仅为配制量的50%左右。正确做法：①必须使用专用的非PVC输液器（如PE、玻璃或专用硝酸甘油输液器）；②使用玻璃瓶配制；③避光输注；④根据血压和疗效调整滴速；⑤现用现配。
现代医学,氨溴索注射液能和什么溶媒配伍？,氨溴索只能用生理盐水稀释！严禁使用：①葡萄糖注射液：氨溴索在含糖溶液中会迅速降解；②碱性溶液：pH＞6.3时会产生沉淀；③林格液等复合电解质溶液。正确使用：用0.9%氯化钠注射液稀释，浓度不低于0.6mg/ml，现配现用，避光保存，配制后2小时内用完。
现代医学,多巴胺和碳酸氢钠能在同一通路使用吗？,严格禁止！多巴胺在碱性环境下会被氧化失活，溶液颜色由无色变为粉红色或棕色。碳酸氢钠为强碱性（pH 7.5-8.5），两者接触会导致多巴胺完全失效。使用注意：①多巴胺应单独使用葡萄糖注射液或生理盐水稀释；②与碱性药物需使用不同静脉通路；③避光输注；④观察溶液颜色，变色立即停用。
现代医学,头孢哌酮钠舒巴坦钠能和氨基酸注射液配伍吗？,不建议配伍！头孢哌酮钠舒巴坦钠与氨基酸注射液混合可能出现：①pH改变导致药物稳定性下降；②氨基酸中的氨基可能与β-内酰胺环反应；③产生浑浊或沉淀。临床使用：分开给药，头孢哌酮钠舒巴坦钠应单独用生理盐水或葡萄糖注射液稀释，输注完毕后用生理盐水冲管再输注其他药物。
现代医学,维生素K1注射液应该选择什么溶媒？,维生素K1只能用葡萄糖注射液稀释！严禁使用生理盐水，因为：①维生素K1为脂溶性，在生理盐水中溶解度极低；②会析出黄色结晶或油滴；③可能导致血管栓塞。正确使用：①用5%或10%葡萄糖注射液稀释至50-100ml；②避光缓慢静滴，不少于30分钟；③避免与碱性药物（氨茶碱、碳酸氢钠）配伍。
现代医学,美罗培南和丙戊酸钠能同时使用吗？,严格禁忌！美罗培南（碳青霉烯类抗生素）会显著降低丙戊酸钠的血药浓度，可使血药浓度下降60-100%，导致癫痫发作控制不佳。机制：美罗培南抑制丙戊酸钠的肾小管重吸收，加速其排泄。临床处理：①癫痫患者避免使用美罗培南，改用其他抗生素；②若必须使用，需增加丙戊酸钠剂量并监测血药浓度；③停用美罗培南后丙戊酸钠浓度会快速回升。
现代医学,西咪替丁和茶碱类药物能配伍使用吗？,可以同时使用但不能配伍，且需调整剂量！西咪替丁是肝药酶抑制剂，会减慢茶碱的代谢，使茶碱血药浓度升高1.5-2倍，可能导致茶碱中毒（心律失常、恶心、呕吐、抽搐）。临床处理：①两药分开给药；②同时使用时茶碱剂量应减少30-50%；③监测茶碱血药浓度；④老年人更易发生相互作用，需特别注意。
